"ï..key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antiguedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","mes"
17369,"07-Dec-15",1,34,"CUERNAVACA MORELOS",2,4,1032.2312,12,2,1,1,2,9241.5996,81,1,1,0.111694,12
17370,"07-Dec-15",1,54,"CHAPALA",1,18,16408.3,36,7,1,2,2,5198.3999,330,0,1,3.156414,12
17372,"07-Dec-15",0,31,"SLP TANGAMANGA",1,8,960.21504,6,2,1,2,2,6536,116,1,1,0.1469117,12
17373,"07-Dec-15",0,30,"CRACOVIA",2,7,4625.7859,11,2,2,1,1,8572.7998,77,1,1,0.5395887,12
17375,"07-Dec-15",0,24,"EL SALTO",1,1,437.598,5,1,2,2,1,11278.4,148,1,3,0.0387997,12
17377,"07-Dec-15",0,26,"QUERETARO ACUEDUCTO",1,10,7033.8252,2,0,2,2,2,668.79999,205,0,3,10.51708,12
17378,"07-Dec-15",1,22,"TIJUANA CACHANILLA",1,4,4911.0998,2,1,2,2,1,7113.6001,106,1,3,0.6903818,12
17379,"14-Dec-15",1,26,"CANCUN",2,2,500.112,8,1,2,2,1,3800,78,1,3,0.1316084,12
17380,"14-Dec-15",0,26,"DURANGO",1,1,10.00224,3,1,1,2,2,3192,32,1,1,0.0031335,12
17381,"14-Dec-15",0,23,"TORREON COMARCA",1,6,2149.2313,2,1,2,2,1,91.199997,77,1,3,23.56613,12
17382,"14-Dec-15",0,26,"TORREON COMARCA",1,21,9306.2091,11,2,1,2,1,2948.8,197,0,1,3.155931,12
17384,"14-Dec-15",0,45,"SEVILLA",2,2,376.33428,8,2,1,1,1,6171.2002,88,1,2,0.0609823,12
17385,"14-Dec-15",1,59,"CULIACAN",1,22,6871.4139,44,9,1,2,2,7083.2002,291,0,1,0.9701002,12
17386,"14-Dec-15",1,59,"CULIACAN",1,22,6871.4139,44,13,1,2,2,10092.8,291,0,1,0.6808234,12
17387,"14-Dec-15",0,23,"TORREON COMARCA",1,1,63.014112,2,0,2,2,1,3556.8,51,1,3,0.0177165,12
17388,"14-Dec-15",1,30,"GUADALAJARA PATRIA",1,2,611.38692,12,7,1,2,2,3800,35,1,1,0.1608913,12
17389,"14-Dec-15",0,27,"PRAGA",2,4,1896.0496,8,3,2,1,2,2097.6001,87,1,1,0.9039138,12
17390,"14-Dec-15",0,45,"CANCUN",2,12,3858.7392,16,4,2,2,2,8816,207,0,3,0.4376973,12
17392,"14-Dec-15",0,30,"CD. OBREGON",1,18,7478.5498,10,5,1,1,2,2432,344,0,1,3.075062,12
17393,"14-Dec-15",1,25,"DURANGO",1,11,6644.6131,5,1,2,2,1,7113.6001,186,0,3,0.9340718,12
17394,"14-Dec-15",0,29,"TLALPAN",2,11,4320.4467,10,2,1,1,1,13588.8,179,1,1,0.3179418,12
17395,"14-Dec-15",0,31,"MONTERREY VALLE ALTO",1,19,6467.5734,9,4,1,2,1,2979.2,266,0,2,2.170909,12
17396,"14-Dec-15",1,22,"MONTERREY CHIPINQUE",1,12,3100.7986,4,2,1,2,1,1185.6,122,1,1,2.615383,12
17397,"14-Dec-15",0,29,"ALTAVISTA",2,11,2554.8013,9,2,1,1,2,8785.5996,135,1,2,0.2907942,12
17398,"14-Dec-15",0,44,"MONTERREY VALLE ALTO",1,27,10424.585,25,4,1,2,2,5441.6001,493,0,2,1.91572,12
17399,"14-Dec-15",1,60,"MONTERREY TECNOLOGICO",1,1,502.61256,40,12,1,2,2,10001.6,46,1,2,0.0502532,12
17400,"14-Dec-15",1,25,"CHIHUAHUA",1,1,562.626,7,1,2,2,2,2705.6001,56,1,3,0.2079487,12
17402,"14-Dec-15",1,26,"CHIHUAHUA VILLA",1,13,10406.831,8,1,2,2,1,10518.4,144,1,3,0.9893929,12
17403,"14-Dec-15",0,31,"NOGALES",1,15,5650.8905,11,2,2,2,1,12555.2,493,0,1,0.4500837,12
17404,"14-Dec-15",1,45,"VALLE DORADO",2,6,2752.6164,29,16,1,1,1,2158.3999,81,1,1,1.275304,12
17405,"14-Dec-15",1,48,"COATZACOALCOS",2,19,10296.129,25,4,1,2,2,6384,298,0,1,1.612802,12
17406,"14-Dec-15",1,46,"MONTERREY LEONES",1,2,2766.2445,30,7,2,2,2,7052.7998,88,1,3,0.3922193,12
17408,"14-Dec-15",1,36,"CULIACAN",1,7,2256.7554,22,3,1,2,1,13619.2,129,1,1,0.165704,12
17409,"14-Dec-15",0,28,"VIADUCTO",2,18,12236.615,8,2,1,1,2,6505.6001,493,0,1,1.880936,12
17410,"14-Dec-15",1,33,"CUAUTITLAN",2,6,3719.583,13,2,1,1,1,1854.4,92,1,2,2.005815,12
17412,"14-Dec-15",1,22,"NOGALES",1,3,793.30266,4,1,2,2,1,1033.6,50,1,3,0.7675142,12
17413,"14-Dec-15",0,44,"GUADALAJARA PATRIA",1,8,2813.13,27,8,2,2,2,5350.3999,86,1,1,0.5257794,12
17414,"14-Dec-15",1,30,"TORREON",1,11,9260.949,4,1,1,2,2,4438.3999,126,1,1,2.086551,12
17415,"14-Dec-15",1,25,"DURANGO",1,1,238.92851,5,1,2,2,1,10579.2,46,1,3,0.0225847,12
17416,"14-Dec-15",1,25,"DURANGO",1,1,238.92851,5,2,2,2,1,3921.6001,46,1,3,0.0609263,12
17418,"14-Dec-15",0,31,"CHOLULA",2,2,983.97036,5,2,2,2,1,2705.6001,100,1,3,0.3636792,12
17419,"14-Dec-15",1,42,"VIVEROS",2,7,1922.9306,6,2,1,1,1,3070.3999,137,1,1,0.6262802,12
17420,"14-Dec-15",1,48,"TRADE CENTER",2,2,1312.794,27,6,1,1,2,5107.2002,74,1,1,0.2570477,12
17421,"14-Dec-15",0,29,"DURANGO",1,1,367.58232,2,1,1,2,2,3678.3999,32,1,1,0.09993,12
17422,"14-Dec-15",1,32,"CULIACAN",1,1,187.542,16,6,2,1,2,14531.2,43,1,3,0.0129062,12
17423,"14-Dec-15",0,22,"CD. JUAREZ BARRANCAS",1,13,14922.592,1,1,2,1,1,9606.4004,133,1,3,1.553401,12
