"","key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antigüedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","antiguedad","grupo_edad","grupo_sueldo"
"103",14067,"19-Jan-15",0,37,"CHIHUAHUA PARRAL",1,8,3120.3863,NA,NA,NA,NA,NA,NA,52,0,NA,NA,NA,2,2
"104",14068,"19-Jan-15",1,28,"POLANCO",2,16,10371.416,12,3,NA,NA,NA,6414.3999,157,0,NA,1.616896,12,2,3
"105",14069,"19-Jan-15",1,46,"GUADALAJARA MINERVA",1,19,23592.784,21,4,NA,NA,NA,3921.6001,822,1,NA,6.016111,21,2,3
"106",14070,"19-Jan-15",0,29,"PACHUCA",2,16,13111.817,7,1,NA,NA,NA,3739.2,462,1,NA,3.506583,7,2,3
"107",14071,"19-Jan-15",1,30,"MEXICALI",1,4,1311.3301,13,3,NA,NA,NA,2158.3999,67,0,NA,0.6075473,13,2,1
"108",14072,"19-Jan-15",1,30,"GUADALAJARA AJIJIC",1,6,1519.507,14,3,NA,NA,NA,20368,63,0,NA,0.0746027,14,2,1
"109",14073,"19-Jan-15",0,24,"PRADO CHURUBUSCO",2,16,17810.192,7,3,NA,NA,NA,5441.6001,617,1,NA,3.27297,7,1,3
"110",14074,"19-Jan-15",1,31,"TLAXCALA",2,21,8960.6317,12,3,NA,NA,NA,11977.6,184,1,NA,0.7481158,12,2,2
"111",14075,"19-Jan-15",0,41,"TIJUANA CACHANILLA",1,14,2409.4979,21,4,NA,NA,NA,3708.8,141,0,NA,0.6496705,21,2,2
"112",14076,"19-Jan-15",0,35,"CD. OBREGON",1,10,6636.5644,20,3,NA,NA,NA,30.4,129,0,NA,218.308,20,2,2
"113",14077,"19-Jan-15",0,41,"CD. OBREGON",1,7,3414.2803,18,3,NA,NA,NA,1580.8,60,0,NA,2.159843,18,2,2
"114",14078,"19-Jan-15",0,30,NA,2,25,13801.82,8,1,NA,NA,NA,3739.2,191,1,NA,3.691116,8,2,3
"115",14079,"19-Jan-15",1,41,"SAN LUIS POTOSI",1,1,1354.47,NA,NA,NA,NA,NA,NA,45,0,NA,NA,NA,2,1
"116",14080,"19-Jan-15",1,46,"VIVEROS",2,11,5580.729,22,5,NA,NA,NA,18817.6,86,0,NA,0.2965696,22,2,2
"117",14081,"19-Jan-15",0,29,"LEON",1,16,5897.6749,14,2,NA,NA,NA,9880,822,1,NA,0.5969307,14,2,2
"118",14082,"19-Jan-15",0,42,"ATLIXCO",2,2,684.37202,21,3,NA,NA,NA,14835.2,31,0,NA,0.0461316,21,2,1
"119",14083,"19-Jan-15",0,34,"CONDESA",2,4,1856.77,14,3,NA,NA,NA,3222.3999,38,0,NA,0.5762072,14,2,1
"120",14084,"19-Jan-15",1,48,"CD. JUAREZ ATLANTIS",1,2,1625.364,22,4,NA,NA,NA,7812.7998,72,0,NA,0.2080386,22,3,1
"121",14085,"19-Jan-15",1,28,"COSTA DEL SOL",2,1,1041.9,NA,NA,NA,NA,NA,NA,37,0,NA,NA,NA,2,1
"122",14086,"19-Jan-15",0,32,"TIJUANA RIO",1,41,14388.743,17,9,NA,NA,NA,2280,479,1,NA,6.310852,17,2,3
"123",14087,"19-Jan-15",0,38,"LA PAZ",1,22,7003.0527,16,3,NA,NA,NA,8268.7998,142,0,NA,0.846925,16,2,2
"124",14088,"19-Jan-15",0,38,"LA PAZ",1,22,7003.0527,16,6,NA,NA,NA,6414.3999,142,0,NA,1.091771,16,2,2
"125",14089,"19-Jan-15",1,35,"TIJUANA CACHANILLA",1,1,250.056,17,8,NA,NA,NA,8633.5996,58,0,NA,0.0289631,17,2,1
"126",14090,"19-Jan-15",1,27,"MONTERREY VALLE ALTO",1,1,312.57,NA,NA,NA,NA,NA,NA,25,0,NA,NA,NA,1,1
"127",14091,"19-Jan-15",0,45,"CULIACAN",1,7,2976.4478,22,6,NA,NA,NA,4894.3999,129,0,NA,0.6081334,22,2,2
"128",14092,"19-Jan-15",0,29,"PRAGA",2,19,15557.838,7,2,NA,NA,NA,3496,665,1,NA,4.450182,7,2,3
"129",14093,"19-Jan-15",0,31,"GUADALAJARA TONALA",1,27,7579.1192,14,5,NA,NA,NA,2523.2,387,1,NA,3.003773,14,2,2
"130",14094,"19-Jan-15",1,22,"CD. JUAREZ BARRANCAS",1,5,3029.0638,NA,NA,NA,NA,NA,NA,57,0,NA,NA,NA,1,2
"131",14095,"19-Jan-15",0,24,"GUADALAJARA AJIJIC",1,11,3253.1035,6,1,NA,NA,NA,7417.6001,46,0,NA,0.4385655,6,1,2
"132",14096,"19-Jan-15",0,48,"JALISCO",1,22,9546.6171,29,7,NA,NA,NA,24320,329,1,NA,0.3925418,29,3,2
"133",14097,"19-Jan-15",0,38,"LA PAZ",1,15,3719.7289,22,4,NA,NA,NA,3617.6001,158,0,NA,1.028231,22,2,2
"134",14098,"19-Jan-15",0,25,"FRAY SERVANDO",2,4,1719.0829,8,2,NA,NA,NA,1033.6,38,0,NA,1.663199,8,1,1
"135",14099,"19-Jan-15",0,44,"ATLIXCO",2,34,19614.216,26,3,NA,NA,NA,9393.5996,239,1,NA,2.08804,26,2,3
"136",14100,"19-Jan-15",1,28,"CD. JUAREZ ATLANTIS",1,3,1162.1353,12,2,NA,NA,NA,19608,58,0,NA,0.0592684,12,2,1
"137",14101,"19-Jan-15",0,34,"CULIACAN HUMAYA",1,3,1042.4209,14,4,NA,NA,NA,7630.3999,50,0,NA,0.1366142,14,2,1
"138",14102,"19-Jan-15",1,45,"GUADALAJARA TLAQUEPAQUE",1,8,7750.1992,26,5,NA,NA,NA,18148.801,95,0,NA,0.4270364,26,2,2
"139",14103,"19-Jan-15",0,31,"LA PAZ",1,36,24508.822,10,3,NA,NA,NA,5046.3999,822,1,NA,4.856694,10,2,3
"140",14104,"19-Jan-15",0,25,"HAMBURGO",2,16,16938.116,5,1,NA,NA,NA,4924.7998,134,0,NA,3.439351,5,1,3
"141",14105,"19-Jan-15",1,27,"SOTELO",2,7,6580.0674,9,3,NA,NA,NA,364.79999,140,0,NA,18.03747,9,1,2
"142",14106,"19-Jan-15",1,26,"TOLUCA LERMA",2,13,6632.4228,8,1,NA,NA,NA,10731.2,242,1,NA,0.6180504,8,1,2
"143",14107,"19-Jan-15",0,36,"CELAYA",1,20,10249.561,19,4,NA,NA,NA,8572.7998,179,0,NA,1.195591,19,2,3
"144",14108,"19-Jan-15",1,50,NA,1,18,6554.4887,27,4,NA,NA,NA,2158.3999,136,0,NA,3.036735,27,3,2
"145",14109,"19-Jan-15",1,26,"MONTERREY SENDERO",1,1,625.14,10,2,NA,NA,NA,2280,42,0,NA,0.2741842,10,1,1
"146",14110,"19-Jan-15",0,26,"CD. OBREGON",1,32,20079.393,9,2,NA,NA,NA,3617.6001,822,1,NA,5.550473,9,1,3
"147",14111,"19-Jan-15",0,24,NA,2,10,2511.4687,5,1,NA,NA,NA,5380.7998,38,0,NA,0.4667464,5,1,2
"148",14112,"19-Jan-15",0,39,"TORREON COMARCA",1,2,1667.04,25,12,NA,NA,NA,881.59998,22,0,NA,1.890926,25,2,1
"149",14113,"19-Jan-15",1,29,"NAPOLES",2,14,11689.884,12,4,NA,NA,NA,4924.7998,140,0,NA,2.373677,12,2,3
"150",14114,"19-Jan-15",1,47,"GUADALAJARA PATRIA",1,23,31227.931,25,10,NA,NA,NA,1763.2,256,1,NA,17.71094,25,2,3
