key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14186,26-Jan-15,0,33,SALTILLO,1,4,2643.0398,19,6.0121132,NA,NA,NA,166,91,0
14187,26-Jan-15,1,42,CD. JUAREZ ATLANTIS,1,4,1507.5772,24,9.6786439,NA,NA,NA,69,46,0
14188,26-Jan-15,0,45,CORREGIDORA,1,7,2309.5797,27,6.3355058,NA,NA,NA,21,84,0
14189,26-Jan-15,1,37,EL SALTO,1,18,11871.278,19,3.7866814,NA,NA,NA,150,253,1
14190,26-Jan-15,0,24,CUAUTITLAN,2,19,10644.024,4,0.87255844,NA,NA,NA,437,217,1
14191,26-Jan-15,1,41,SALTILLO,1,24,8536.1044,23,14.869663,NA,NA,NA,190,815,1
14192,26-Jan-15,0,43,TIJUANA CACHANILLA,1,19,11679.595,26,5.0446707,NA,NA,NA,258,200,1
14193,26-Jan-15,0,27,MONTERREY CHIPINQUE,1,14,5264.6426,9,3.0243664,NA,NA,NA,341,142,0
14194,26-Jan-15,0,40,MERIDA MONTEJO,2,18,4471.8661,6,1.0938973,NA,NA,NA,203,102,0
14195,26-Jan-15,0,26,ESCANDON,2,4,4882.7497,,,NA,NA,NA,,29,0
14196,26-Jan-15,0,28,LAS AGUILAS,2,1,1188.2088,7,2.2051591,NA,NA,NA,82,53,0
14197,26-Jan-15,1,26,DURANGO,1,10,3073.9697,3,1.3199707,NA,NA,NA,172,121,0
14198,26-Jan-15,0,38,TIJUANA INSURGENTES,1,2,416.96838,16,2.7964051,NA,NA,NA,191,45,0
14199,26-Jan-15,1,35,ARAGON,2,4,1879.0041,14,4.8780035,NA,NA,NA,196,65,0
14200,26-Jan-15,1,31,JUAREZ CHAMIZAL,1,8,6783.29,15,2.5877247,NA,NA,NA,14,42,0
14201,26-Jan-15,1,32,GUADALAJARA TONALA,1,3,590.7052,,,NA,NA,NA,,46,0
14202,26-Jan-15,1,34,NA,1,1,312.57,18,3.9174993,NA,NA,NA,230,21,0
14203,26-Jan-15,1,31,MONTERREY CHIPINQUE,1,1,60.4302,,,NA,NA,NA,,28,0
14204,26-Jan-15,1,29,CAMPECHE,2,15,7567.9188,12,3.122756,NA,NA,NA,34,57,0
14205,03-Feb-15,1,28,LEON,1,2,569.55463,10,1.8031284,NA,NA,NA,281,34,0
14206,03-Feb-15,0,29,ESCANDON,2,1,1490.662,,,NA,NA,NA,,27,0
14207,03-Feb-15,0,37,ARANDAS,1,11,4139.5208,,,NA,NA,NA,,83,0
14208,03-Feb-15,1,37,SAN MARCOS,1,8,2663.9039,22,2.864759,NA,NA,NA,274,34,0
14209,03-Feb-15,1,33,NUEVO LAREDO,1,2,423.0114,,,NA,NA,NA,,31,0
14210,03-Feb-15,1,32,CHOLULA,2,28,14611.397,14,2.24684,NA,NA,NA,55,356,1
14211,03-Feb-15,0,33,NAPOLES,2,2,995.0145,15,6.7082099,NA,NA,NA,254,50,0
14212,03-Feb-15,1,32,REFORMA,2,8,8639.7474,12,1.9694869,NA,NA,NA,530,120,0
14213,03-Feb-15,1,26,CHIHUAHUA VILLA,1,12,9226.7538,3,0.63507081,NA,NA,NA,330,76,0
14214,03-Feb-15,1,28,NOGALES,1,3,427.179,11,1.8382061,NA,NA,NA,15,65,0
